GW_CSA_AAA,Strengthened Security Patrol 
TEXT_CONQUEST_ZSINJ_NR_HAPES_TWO,Leia Organa: I am in contact with the Hapan government. I'll return to Coruscant when I've spoken to the royal family.
TEXT_CONQUEST_ZSINJ_NR_INTRO_ONE,Han Solo: Is this thing on? This is General Solo; I'm in charge of the force going after that hawk-bat Zsinj. We've made a truce with the Imperials for now, so they won't attack us as long as we don't attack them.
TEXT_CONQUEST_ZSINJ_REMNANTS_INTRO_E3,Bock Nabyl: It's hopeless! With Zsinj dead, our empire has descended into chaos and madness! Deserters, invaders, chaos... Zsinj's legacy won't last the month.
TEXT_DEATHSEED_SQUADRON,Deathseed Squadron
TEXT_DEATHSEED_SQUADRON_HALF,Deathseed Squadron 1/2
TEXT_DEATHSEED_SQUADRON2,Deathseed Squadron x2
TEXT_DEFENDER_SQUADRON,Defender Starfighter Squadron
TEXT_DEFENDER_SQUADRON_HALF,Defender Starfighter Squadron 1/2
TEXT_DEFENDER_SQUADRON2,Defender Starfighter Squadron x2
TEXT_DIE_WING_SQUADRON,TYE-wing Squadron
TEXT_DIE_WING_SQUADRON_HALF,TYE-wing Squadron 1/2
TEXT_DIE_WING_SQUADRON2,TYE-wing Squadron x2
TEXT_DISPLAY_BLACK_15,Economic Station: Black-15
TEXT_DISPLAY_HAPAN_SHIPYARD_ALGRAY,Construction Station: AlGray House Shipyard
TEXT_DISPLAY_HAPAN_SHIPYARD_CORR,Construction Station: Corr House Shipyard
TEXT_DISPLAY_HAPAN_SHIPYARD_GALNEY,Construction Station: Galney House Shipyard
TEXT_DISPLAY_HAPAN_SHIPYARD_MALURI,Construction Station: Maluri House Shipyard
TEXT_DISPLAY_HAPAN_SHIPYARD_REQUUD,Construction Station: Requud House Shipyard
TEXT_DISPLAY_HAPAN_SHIPYARD_ROYAL,Construction Station: Royal House Shipyard
TEXT_DISPLAY_HAPAN_SHIPYARD_THANE,Construction Station: Thane House Shipyard
TEXT_DISPLAY_RANCOR_BASE,Construction Station: Rancor Base
TEXT_DISPLAY_SECONDARY_BRASK,Secondary Defense: Brask Station
TEXT_DISPLAY_SECONDARY_EPINEIO,Secondary Defense: Epineio Station
TEXT_DISPLAY_SECONDARY_ETYMOS,Secondary Defense: Etymos Station
TEXT_DISPLAY_SECONDARY_GOLAN_THREE,Secondary Defense: Golan-III Station
TEXT_DISPLAY_SECONDARY_IERO,Secondary Defense: Iero Station
TEXT_DISPLAY_SECONDARY_MERIDIAN_I,Secondary Defense: Meridian-I Station
TEXT_DISPLAY_SECONDARY_MERIDIAN_II,Secondary Defense: Meridian-II Station
TEXT_DISPLAY_SECONDARY_MERIDIAN_III,Secondary Defense: Meridian-III Station
TEXT_DISPLAY_SECONDARY_MERIDIAN_IV,Secondary Defense: Meridian-IV Station
TEXT_DISPLAY_SECONDARY_TEICHOS,Secondary Defense: Teichos Station
TEXT_DISPLAY_SECONDARY_VISVIA,Secondary Defense: Visvia Station
TEXT_DISPLAY_SHIP_MARKET,Construction Station: Ship Market
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_BAKURA,Bakura: GPA
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_HAPES,Charubah, Relephon: Patrol Miy'til, House Miy'til at 9+ Influence
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_MANDALORIAN,Mandalorian worlds: StarViper I and II, Firespray Gunship at 9+ Influence
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_NABOO,Naboo: N-1, G-1 at 9+ Influence
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_RYLOTH,Ryloth: Chir'daki
TEXT_DOCUMENTATION_BODY_INFLUENCE_LOYALTY_PLANET_KASHYYYK,Kashyyyk: Base Influence 3 if not New Republic
TEXT_DOCUMENTATION_BODY_INFLUENCE_PLANET_ACADEMY,Academy Worlds: Can gain commander minor heroes (ground and space) from Academy at 4 influence and higher
TEXT_DOCUMENTATION_BODY_INFLUENCE_PLANET_HAPES_CLUSTER,Hapes Cluster: Can build Beta Cruisers at 7+ influence, Nova Cruisers at 8+ influence, and Battle Dragons at 10 influence
TEXT_DOCUMENTATION_BODY_INFLUENCE_PLANET_KOORNACHT_CLUSTER,Koornacht Cluster: Can build T-Type and C-Type Thrustships at 9+ influence
TEXT_DOCUMENTATION_BODY_MISSION_BFC_STORY,Event: Black Fleet Crisis. - [ EX-F (Modified Sorannan) will join your forces if Tal Fraan is defeated ] [ 17 ABY Month 1 ]
TEXT_DOCUMENTATION_BODY_MISSION_CENTARES_ZE_HERO,New Hero: Ambris Selit (Economic) will join your forces if Centares is captured before any other group takes it. [ 4 ABY - 6 ABY ]
TEXT_DOCUMENTATION_BODY_MISSION_CORUSCANT_STORY,Event: Coruscant evacuation. - [ Survive until evacuation is finished ] [ Regime: Palpatine ]
TEXT_DOCUMENTATION_BODY_MISSION_DELTA_SOURCE_STORY,Event: Delta Source. - [ Select Coruscant to get valuable information ] [ If controlled by different faction, Regime: Thrawn ]
TEXT_DOCUMENTATION_BODY_MISSION_KASHYYYK_GM_HERO,New Hero: Peccati Syn (ISD-I) will join your forces if Kashyyyk is captured before any other group takes it. [ 4 ABY - 6 ABY ]
TEXT_DOCUMENTATION_BODY_MISSION_KATANA_STORY,Event: Katana Fleet. - [ Capture as many Katana DHCs as you can ] [ Time-limited, Regime: Thrawn ]
TEXT_DOCUMENTATION_BODY_MISSION_MANDALORE_NR_HERO,New Hero: Fenn Shysa (Commando) will join your forces if Mandalore is captured before any other group takes it. [ 4 ABY - 12+ ABY ]
TEXT_DOCUMENTATION_BODY_MISSION_NJO_STORY,Event: New Jedi Order. [ Jedi Praxeum available in 11 ABY Month 4 ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_AAC3,Research: AAC-3 Hovertank. [ Research available in 10 ABY Month 3 ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_ARMORED_INTERCEPTOR,Research: Armored TIE Interceptor.
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_BWINGE,Research: B-wing/E. [ Research available in 10 ABY ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_CORONA,Research: Corona Frigate. [ Research available on Kuat in 10 ABY ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_FIGHTER_SHIELDS,Research: Shielded/Unshielded Fighters. [ Can be switched ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GE1,Research: Project Ambition. [ Faction leader: Ysanne Isard (Spy / Executor). Unlock: Thyferra, Kessel. ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GE1_3,=== Galactic Empire-only Regimes ===================================
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GE2,Research: Form Central Committee of Grand Moffs. [ Faction leader: Bertroff Hissa (Strike Cruiser). Unlock: Thyferra, Kessel. ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GE3,Research: Recall Grand Admiral Thrawn. [ Faction leader: Thrawn (Modified ISD-II). ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GE4,Research: Establish Dark Empire. [ Faction leader: Reborn Palpatine (Sith). Unlock: Byss. ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GE4_7,=== Dark Empire and Later Regimes ===================================
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GE5,Research: Support Carnor Jax. [ Faction leader: Carnor Jax (Royal Guard). ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GE6,Research: Install Natasi Daala. [ Faction leader: Natasi Daala (ISD-I / Executor). Unlock: The Maw. ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GE7,Research: Daala's Resignation. [ Faction leader: Gilad Pellaeon (Modified ISD-II / Executor / Mandator-III). Heroes: Natasi Daala (Venator). ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_GORATH,Research: Gorath Strike Cruiser. [ Research available in 12 ABY Month 4 ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_MCHC,Research: Mon Calamari Heavy Carrier. [ Research available on Mon Calamari, requires researched Mediator Battle Cruiser ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_MEDIATOR,Research: Mediator Battle Cruiser. [ Research available on Mon Calamari in 22 ABY Month 6 ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_MISSILE_INTERCEPTOR,Research: Missile TIE Interceptor.
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_NCMP1,Research: New Class Modernization Project #1. [ Research available in 9 ABY Month 8 ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_NCMP2,Research: New Class Modernization Project #2. [ Research available in 10 ABY Month 2 ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_RSD,Research: Republic Star Destroyer. [ Research available in 9 ABY Month 4 ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_SCIMITAR,Research: Scimitar Assault Bomber.
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_VISCOUNT,Research: Viscount Star Defender. [ Research available on Mon Calamari in 10 ABY Month 8 ]
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_X3,Research: TIE X-3.
TEXT_DOCUMENTATION_BODY_MISSION_SOROSUUB_CSA_HERO,New Hero: Siin Suub (Bulwark-III). [ Requires SoroSuub ]
TEXT_DOCUMENTATION_BODY_MISSION_TAGGECO_CSA_HERO,New Hero: Ulric Tagge (Tagge BC). [ If not part of Imperial forces, Requires TaggeCo ]
TEXT_DOCUMENTATION_BODY_MISSION_THRAWN_CLONE_STORY,Event: Thrawn Clone. [ Mitth'raaw'nuruodo (Phalanx) will automatically begin cloning if Mitth'raw'nuruodo is defeated or has joined the Galactic Empire ] [ Available to be cloned immediately in 9 ABY+ starts ]
TEXT_DOCUMENTATION_BODY_STORYOVERVIEW_ERA_1,Era 1: 4 ABY - 6 ABY | 24 Cycles
TEXT_DOCUMENTATION_BODY_STORYOVERVIEW_ERA_2,Era 2: 6 ABY - 9 ABY | 36 Cycles
TEXT_DOCUMENTATION_BODY_STORYOVERVIEW_ERA_3,Era 3: 9 ABY - 10 ABY | 12 Cycles
TEXT_DOCUMENTATION_BODY_STORYOVERVIEW_ERA_4,Era 4: 10 ABY - 11 ABY | 12 Cycles
TEXT_DOCUMENTATION_BODY_STORYOVERVIEW_ERA_5,Era 5: 11 ABY - 11 ABY Month 6 | 6 Cycles
TEXT_DOCUMENTATION_BODY_STORYOVERVIEW_ERA_6,Era 6: 11 ABY Month 6 - 12 ABY | 6 Cycles
TEXT_DOCUMENTATION_BODY_STORYOVERVIEW_ERA_7,Era 7: 12+ ABY | ∞ Cycles
TEXT_DOCUMENTATION_FACTION_CSA,=== Corporate Sector Authority ===========================
TEXT_DOCUMENTATION_FACTION_EA,=== Eriadu Authority ====================================
TEXT_DOCUMENTATION_FACTION_EOTH,=== Empire of the Hand =================================
TEXT_DOCUMENTATION_FACTION_GE,=== Galactic Empire ====================================
TEXT_DOCUMENTATION_FACTION_GM,=== Greater Maldrood ===================================
TEXT_DOCUMENTATION_FACTION_HC,=== Hapes Consortium ====================================
TEXT_DOCUMENTATION_FACTION_HUTTS,=== Hutt Cartels =======================================
TEXT_DOCUMENTATION_FACTION_MW,=== Minor Warlords =====================================
TEXT_DOCUMENTATION_FACTION_NR,=== New Republic =======================================
TEXT_DOCUMENTATION_FACTION_PA,=== Pentastar Alignment ================================
TEXT_DOCUMENTATION_FACTION_ZE,=== Zsinj's Empire =====================================
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_AEGEL,Aegel Squadron (Miy'til Bomber Squadron) - Unlocked by default | Default Hero: Alyssia
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_ANTILLES,Wedge Antilles (X-wing Squadron & T-47 Airspeeder Wing) - Locks when Lusankya built | Default Hero: Gial Ackbar
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_ASHIK,Ashik (Infantry) - 11 ABY Month 6
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_ASTARTA,Astarta (Battle Dragon) - 6 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_AUREK_SEVEN,Aurek Seven (Stormtrooper Squad) - 12 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_BOOSTER,Booster Terrik (Modified ISD-II) - 9 ABY and 19 ABY Month 6 | Capital Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_BRATH,Rexler Brath (TIE Defender Squadron) - Unlocked by default | Default Hero: Adye Prittick
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_BROADSIDE,Broadside (ARC-170 Squadron) - Pestage, Isard | Default Hero: Malcor Brashin
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_CELCHU,Tycho Celchu (X-wing Squadron & V-wing Airspeeder Wing) - Unlocks when Lusankya built | Default Hero: Gial Ackbar
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_CHAK_FEL,Chak Fel (Krssis Interceptor Squadron) - 19 ABY Month 7 (Requires 1+ Imperial favour) | Default Hero: Voss Parck
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_COWALL,Tetran Cowall (TIE Interceptor Squadron) - Unlocked by default | Default Hero: Zsinj
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_CRONUS,Cronus (A6 Juggernaut) - 9 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_DEATHRAIN,Deathrain (TIE Punisher Squadron) - Unlocked by default | Default Hero: Ardus Kaine
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_GAVRISOM,Ponc Gavrisom (Economic) - 12 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_IMPERIAL_ACE,Imperial Ace (TIE X-7 Squadron) - Unlocked by default | Default Hero: Purdy M. Trico
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_JAG,Jai'galaar "Jag" (ARC-170 Starfighter Squadron & Nemesis Gunship) - Unlocked by default | Default Hero: Terrinald Screed
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_JAGGED_FEL,Jagged Fel (Nssis Clawcraft Squadron) - 23 ABY Month 3 (Requires 1+ Imperial favour) | Default Hero: Kres'ten'tarthi
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_JAKE_FARRELL,Jake Farrell (A-wing Squadron) - Unlocked by default | Default Hero: Adar Tallon
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_KARRDE,Talon Karrde (Modified Action VI Transport) - 9 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_LEIA,Leia Organa Solo (Infantry) - 9 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_LUSANKYA,Wedge Antilles (Modified Executor) - Isard's defeat or 9 ABY+ starts | Dreadnought Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_MYRSK,Myrsk (Mankvim-814 Light Interceptor Squadron) - Unlocked by default | Default Hero: Jona Grumby
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_NERWAL,E.C "Easy" Nerwal (TIE Avenger Squadron) - Unlocked by default | Default Hero: Sander Delvardus
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_OBEROS,Dalan Oberos (M12-L Kimogila Heavy Fighter Squadron) - Unlocked by default | Default Hero: Mika Anjiliac Chiera
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_PHENNIR_1,Turr Phennir (TIE Interceptor/TIE Defender Squadron) - Unlocks when Pestage regime ends | Default Heroes:
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_PHENNIR_2,Teren Rogriss (Isard, CCoGM & Pellaeon), Brandei (Thrawn), Gilad Pellaeon (Palpatine), Redd Wessel (Jax), Ardax (Daala)
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_PHINEAS,Milo Phineas (VSD-II) - 11 ABY Month 6
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_RANULF,Ranulf Trommer (Shielded TIE Interceptor Squadron) - Unlocked by default
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_RASLAN,Raslan (Executor) - Kuat | Dreadnought Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_REDLINE,Redline (TIE Punisher Squadron) - Unlocked by default | Default Hero: Shea Hublin
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_REIKAS,Rei'kas (Slaver) - Labour Camp
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_RIIZOLO,Phan Riizolo (Neutron Star) - 9 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_SALM,Horton Salm (Y-wing/B-wing Squadron) - Unlocked by default | Default Hero: Kir Vantai
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_SCIMITAR_SQUADRON,Rhymer (TIE Bomber Squadron) - Central Committee of Grand Moffs
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_SOONTIR_FEL_EMPIRE,Soontir Fel (TIE Interceptor Squadron) - Pestage
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_SOONTIR_FEL_HAND,Soontir Fel (Nssis Clawcraft Squadron) - Unlocks at 1+ Imperial favour | Default Hero: Mitth'raw'nuruodo
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_SYSCO,Sysco (Vengeance) - Dreadnought Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_TAVIRA,Leonia Tavira (ISD-II) - 9 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_TENENIEL_DJO,Teneniel Djo (Witch of Dathomir) - 9 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_THWEEK,Thweek (StarViper Mark 2 Squadron) - Unlocked by default | Default Hero: Ganis
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_TRELIX,Krassis Trelix (Firespray) - Labour Camp
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_TRIGIT,Apwar Trigit (ISD-II) - 6 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_TYRESI,Tyresi Gurtt (Clutch Fighter Squadron) - Available with Leonia Tavira in orbit | Default Hero: Leonia Tavira
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_VESSERY,Broak Vessery (TIE Defender Squadron) - Isard | Default Hero: Isard
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_VHORK,Vhork Squadron (Miy'til Fighter Squadron) - Unlocked by default | Default Hero: Ta'a Chume
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_VYNDER,Vynder (Xg-1 Star Wing Squadron) - Unlocked by default | Default Hero: Treuten Teradoc
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_WHISPER,Whisper (TIE Phantom Squadron) - Unlocked by default | Default Hero: Octavian Grant
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_WINDLE,Windle Meeker (H/LAF-500 Squadron) - Unlocked by default | Default Hero: Angela Krin
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_WINGER,Alexandra Winger (X-wing Squadron) - 9 ABY | Default Hero: Han Solo
TEXT_DOCUMENTATION_HEADER_UNIQUE_HERO_ZORBA,Zorba Desilijic Tiure (Economic) - 6 ABY
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_ACTION_VI,Action VI Tender - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_ADZ,Adz Patrol Destroyer - 11 ABY Month 6 - 12+ ABY | Light Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_ATST_A,AT-ST/A Walker (Locks AT-ST) - 10 ABY - 12+ ABY | Light Vehicle Factory
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_BOARDING_SHUTTLE,Boarding Shuttle - Thrawn | Light Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_CRUSADER,Crusader Corvette (Locks IPV-1) - Daala, Pellaeon | Light Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_DELTA_JV7,Delta JV-7 Escort Shuttle - Carnor, Daala | Light Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_DHC_PDF,PDF Dreadnaught Heavy Cruiser - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_DSD,Dwarf Spider Droid - Daala, Pellaeon | Barracks
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_EIDOLON,KDY Strike (Locks Strike Cruiser) - Pestage | Light Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_EXECUTOR,Executor Star Dreadnought - Pestage, Isard/CCoGM, Daala, Pellaeon | Dreadnought Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_INQUESTOR,InQuestor - Faction Capital
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_INT_FRIGATE,Interceptor IV Frigate - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_IPV4,IPV/4 Patrol Craft (Locks IPV-1) - 11 ABY Month 6 - 12+ ABY | Light Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_JEDI,Jedi - 11 ABY Month 4 - 12+ ABY | Yavin 4 | Jedi Praxeum
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_MC30C,MC30c Frigate - 4 ABY - 10 ABY | Light Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_MC40A,MC40a Light Cruiser - 4 ABY - 10 ABY | Heavy Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_MC80_LIBERTY,MC80 Liberty Cruiser - 4 ABY - 10 ABY | Heavy Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_MC90,MC90 Cruiser - 10 ABY - 12+ ABY | Capital Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_MTC_COMBAT_CSA,Modular Taskforce Combat Cruiser - 11 ABY - 12+ ABY | Heavy Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_MTC_SUPPORT_CSA,Modular Taskforce Support Cruiser - 11 ABY - 12+ ABY | Heavy Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_NEBULON_PATROL,Imperial Patrol Frigate - Daala, Pellaeon | Light Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_NIGHTSISTER,Nightsister - Dathomir | Barracks
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_NOGHRI,Noghri Death Commando - Thrawn | Honoghr | Barracks
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_NR_ARMY,Army Trooper - 4 ABY - 10 ABY | Barracks
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_NR_DF,Defense Trooper - 10 ABY - 12+ ABY | Barracks
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_PRAETOR_II,Praetor-II Battlecruiser - Palpatine, Carnor, Daala, Pellaeon | Dreadnought Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_PX10,PX-10 Compact Assault Vehicle (Locks AT-PT Walker) - CCoGM | Light Vehicle Factory
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_RANDOM_PIRATE_HERO_CORVETTE,2x Random Pirate Hero Corvettes - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_RANDOM_PIRATE_HERO_FIGHTER,1x Random Pirate Hero Fighter - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_RANDOM_PIRATE_HERO_FLEET,1x Random Pirate Hero Fleet - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_RANDOM_PIRATE_HERO_LEGEND,1x Random Pirate Hero Legend - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_SPACE_ARC,Space ARC Star Cruiser - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_SUPER_TRANSPORT,Modified Super Transport XI - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_T47_AIRSPEEDER,Assault T-47 Airspeeder - 4 ABY - 10 ABY | Light Vehicle Factory
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_TATAT,Turbolaser Refit AT-AT Walker (Locks AT-AT) - 10 ABY - 12+ ABY | Advanced Vehicle Factory
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_TNT,Treaded Neutron Torch - CCoGM | Heavy Vehicle Factory
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_V_WING,V-wing - 10 ABY - 12+ ABY | Heavy Vehicle Factory
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_VENATOR_REFIT,Refurbished Venator Star Destroyer - Pirate Refuge Base
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNIT_YE4,Ye-4 Gunship (Locks Beta ETR-3) - CCoGM | Light Frigate Shipyard
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_CSA,Corporate Sector Authority:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_EA,Eriadu Authority:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_EOTH,Empire of the Hand:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_GE,Galactic Empire:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_GM,Greater Maldrood:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_HAPES,Hapes Consortium:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_HUTTS,Hutt Cartels:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_MW,Minor Warlords:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_NR,New Republic:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_PA,Pentastar Alignment:
TEXT_DOCUMENTATION_HEADER_UNIQUE_UNITS_FACTION_ZE,Zsinj's Empire:
TEXT_DREXL_SQUADRON,Drexl Starfighter Squadron
TEXT_DREXL_SQUADRON_HALF,Drexl Starfighter Squadron 1/2
TEXT_DREXL_SQUADRON2,Drexl Starfighter Squadron x2
TEXT_DUMMY_CUSTOM_GC_FACTION_SPECIAL_CHISS_ALLY,Chiss Ally: Will not be chosen as a random faction if playing as the Chiss
TEXT_DUMMY_CUSTOM_GC_FACTION_SPECIAL_EOTH_ALLY,Empire of the Hand Ally: Will not be chosen as a random faction if playing as the Empire of the Hand
TEXT_DUMMY_CUSTOM_GC_FACTION_SPECIAL_LEGITIMACY,SIZE CHOICE: Legitimacy integration threshold will be affected by layout selection. Only one faction may have a World Devastator chain: frigate Silencer-7 with be despawned if someone else has destroyer Silencer-7, Umak Leth will be despawned if someone else has Silencer-7.
TEXT_DUMMY_CUSTOM_GC_FACTION_SPECIAL_ZSINJ,SIZE CHOICE: Legitimacy integration threshold will be affected by layout selection. Will start with Rancor Base in Full starts, but an alternate ground capital in FTGU and Small.
TEXT_E_WING_PROTOTYPE_SQUADRON,E-wing/A
TEXT_E_WING_PROTOTYPE_SQUADRON_HALF,E-wing/A 1/2
TEXT_E_WING_PROTOTYPE_SQUADRON2,E-wing/A x2
TEXT_E_WING_SQUADRON,E-wing/B Squadron
TEXT_E_WING_SQUADRON_HALF,E-wing/B Squadron 1/2
TEXT_E_WING_SQUADRON2,E-wing/B Squadron x2
TEXT_ECONOMY_BOOSTER,Booster Terrik - Income
