TEXT_2_WARPOD_SQUADRON,#2 Warpod Squadron
TEXT_TOOLTIP_ARMORED_HUTT_LEADER_HEALTH,Health: 44 [5%/5s] (Infantry)
TEXT_TOOLTIP_ARMORED_HUTT_MOVE,Speed: 0.9
TEXT_TOOLTIP_ARMORED_HUTT_SQUAD_WEAP3,1x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_ARMORED_HUTT_SQUAD_WEAP4,1x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_ARMORED_HUTT_WEAP3,1x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_ARMORED_HUTT_WEAP4,1x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_ARQUITENS,A KDY alternate to the Carrack-class designed in the Clone Wars to serve both as an escort for Star Destroyers and a centerpiece for corvette groups. The design would continue to see Imperial usage, fighting the Rebel Alliance and other forces in the early days of the Empire. It is decently armed for its size and an excellent support gunship when grouped into wolfpacks.
TEXT_TOOLTIP_ARQUITENS_HULL,Hull: 1100 (Frigate)
TEXT_TOOLTIP_ARQUITENS_MOVE,Speed: 6.3 | Accel: 0.25 | Turn: 0.45
TEXT_TOOLTIP_ARQUITENS_SHIELD,Shields: 1000 / [15/R] (Frigate)
TEXT_TOOLTIP_ARQUITENS_WEAP1,2x Medium Dual Turbolasers: 2 / 5.0s / 6.1km
TEXT_TOOLTIP_ARQUITENS_WEAP2,2x Medium Quad Laser Cannons: 2 / 2.5s / 4.1km
TEXT_TOOLTIP_ARQUITENS_WEAP3,2x Concussion Missiles: 2 / 6.0s / 4.1km
TEXT_TOOLTIP_ARROW23,Adventuring landspeeder with thick military-grade armor plating and heavy engines. Often converted into passable combat and support vehicles for various groups. Can reliably engage other vehicles and support friendly infantry well.
TEXT_TOOLTIP_ARROW23_COMPANY,Company: 5x Arrow-23 Landspeeder
TEXT_TOOLTIP_ARROW23_HEALTH,Health: 125 (Light Vehicle)
TEXT_TOOLTIP_ARROW23_INFANTRY_HEAL,1x Infantry Healing: 1.5 / 1.0s / 96m
TEXT_TOOLTIP_ARROW23_INFANTRY_HEAL_3X,3x Infantry Healing: 1.5 / 1.0s / 96m
TEXT_TOOLTIP_ARROW23_MOVE,Speed: 4.0 | Turn: 3.0
TEXT_TOOLTIP_ARROW23_WEAP1,1x AV Blaster Cannon: 1 / 1.0s / 320m
TEXT_TOOLTIP_ARROW23_WEAP2,1x Light Concussion Missile: 1 / 15.0s / 320m
TEXT_TOOLTIP_ATAP,A self-propelled heavy cannon developed near the end of the Clone Wars with a long-range cannon and advanced targeting systems meant to fill a gap in loyalist armor formations. It was created by modifying the front hull compartment of an AT-TE significantly. Though it was originally envisioned as an artillery piece, the tripedal walker nevertheless saw significant use as a frontline combat unit.
TEXT_TOOLTIP_ATAP_COMPANY,Company: 1x AT-AP Walker
TEXT_TOOLTIP_ATAP_HEALTH,Health: 300 (Heavy Vehicle)
TEXT_TOOLTIP_ATAP_MOVE,Speed: 0.75 | Turn: 2.0 
TEXT_TOOLTIP_ATAP_WEAP1,1x Heavy Mass Driver Cannon: 1 / 3.0s / 640m
TEXT_TOOLTIP_ATAP_WEAP2,1x Heavy AV Blaster Cannon: 1 / 2.0s / 480m
TEXT_TOOLTIP_ATAP_WEAP3,1x Heavy AI Blaster Cannon: 4 / 1.0s / 320m
TEXT_TOOLTIP_ATL_INTERCEPTOR,The direct predecessor to the New Republic Defender Starfighter, the ATL interceptor was developed by the Incom Corporation before the Galactic Civil War started as a short range fighter for planetary defence and atmospheric operations.
TEXT_TOOLTIP_ATPT,An extremely small walker meant to provide a single soldier the presence of a squad. It is well suited to supporting other vehicles as an escort or supporting infantry as a heavy unit. It is best used against targets not armed with dedicated antiarmor weaponry.
TEXT_TOOLTIP_ATPT_COMPANY,Company: 6x AT-PT Walker
TEXT_TOOLTIP_ATPT_HEALTH,Health: 90 [5%/5s] (Light Vehicle)
TEXT_TOOLTIP_ATPT_HERO_HEALTH,Health: 180 [5%/5s] (Light Vehicle)
TEXT_TOOLTIP_ATPT_HERO_PD,Point-Defense: 1 / 2.5s / 200m
TEXT_TOOLTIP_ATPT_MOVE,Speed: 1.5 | Turn: 6.0
TEXT_TOOLTIP_ATPT_PD,Point-Defense: 1 / 5.0s / 200m
TEXT_TOOLTIP_ATPT_WEAP1,1x AI Blaster Cannon (AOE): 4 / 1.0s / 320m
TEXT_TOOLTIP_ATPT_WEAP2,1x Concussion Grenade: 1 / 4.7s / 160m
TEXT_TOOLTIP_ATRT,An extremely light cavalry walker that sacrifices protection for high mobility and is a doctrine predecessor to the better-known AT-ST. Though intended primarily for scouting, the AT-RT also serves in a variety of combat roles. It is best used to engage smaller droid units and infantry or perform raids on unprotected structures.
TEXT_TOOLTIP_ATRT_COMPANY,Company: 8x AT-RT Walker
TEXT_TOOLTIP_ATRT_HEALTH,Health: 70 [5%/5s] (Light Vehicle)
TEXT_TOOLTIP_ATRT_HERO_HEALTH,Health: 80 [5%/5s] (Light Vehicle)
TEXT_TOOLTIP_ATRT_HERO_MOVE,Speed: 2.25 | Turn: 6.0 
TEXT_TOOLTIP_ATRT_HERO_WEAP1,1x AI Blaster Cannon: 4 / 1.0s / 320m
TEXT_TOOLTIP_ATRT_MOVE,Speed: 2.0 | Turn: 6.0 
TEXT_TOOLTIP_ATRT_WEAP1,1x AI Blaster Cannon (AOE): 3 / 1.0s / 320m
TEXT_TOOLTIP_ATRT_WEAP2,1x Proton Grenade: 1 / 15.0s / 160m
TEXT_TOOLTIP_ATTE,A medium-sized walker with good weapons coverage. While lacking the durability of other heavy walkers, it is significantly more versatile and cheaper to produce. It is able to fight enemy vehicles and infantry with equal ability, but it cannot stand up to larger armor units.
TEXT_TOOLTIP_ATTE_COMPANY,Company: 1x AT-TE Walker
TEXT_TOOLTIP_ATTE_HEALTH,Health: 600 (Heavy Vehicle)
TEXT_TOOLTIP_ATTE_INFANTRY_HEAL,1x Infantry Healing: 3 / 1.0s / 120m
TEXT_TOOLTIP_ATTE_MOVE,Speed: 0.75 | Turn: 2.5 
TEXT_TOOLTIP_ATTE_WEAP1,1x Medium Mass Driver Cannon: 1 / 3.0s / 480m
TEXT_TOOLTIP_ATTE_WEAP2,6x AI Blaster Cannons: 5 / 2.5s / 320m
TEXT_TOOLTIP_AYCEN,Frei Aycen was a Corellian who took up piracy after being frustrated with the Old Republic's corruption. She was more a thief than a killer, culminating in the theft of her flagship from a planetary defense force.
TEXT_TOOLTIP_AYCEN_SQUADRON,Fighters: 2 / 4
TEXT_TOOLTIP_B2_BATTLEDROID,Droid that serves as the standard heavy infantry of the CIS. More durable, independent, and heavily armed than other battle droids, the B2 can inspire fear in even the most organic of meatbags, all for a significantly higher cost than the B1 it supplements.
TEXT_TOOLTIP_B2_BATTLEDROID_COMPANY,Company: 32x B2 Super Battle Droid
TEXT_TOOLTIP_B2_BATTLEDROID_COMPANY_WEAP1,24x Wrist Blaster: 2 / 1.25s / 240m
TEXT_TOOLTIP_B2_BATTLEDROID_COMPANY_WEAP2,24x Wrist Rocket: 1 / 10.0s / 240m
TEXT_TOOLTIP_B2_BATTLEDROID_COMPANY_WEAP3,4x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_B2_BATTLEDROID_COMPANY_WEAP4,4x Heavy Repeating Blaster: 1 / 1.0s / 280m
TEXT_TOOLTIP_B2_BATTLEDROID_COMPANY_WEAP5,4x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_B2_BATTLEDROID_HEALTH,Health: 35 (Droid)
TEXT_TOOLTIP_B2_BATTLEDROID_MOVE,Speed: 0.8 
TEXT_TOOLTIP_B2_BATTLEDROID_SQUAD,Squad: 8x B2 Super Battle Droid
TEXT_TOOLTIP_B2_BATTLEDROID_SQUAD_WEAP1,6x Wrist Blaster: 2 / 1.25s / 240m
TEXT_TOOLTIP_B2_BATTLEDROID_SQUAD_WEAP2,6x Wrist Rocket: 1 / 10.0s / 240m
TEXT_TOOLTIP_B2_BATTLEDROID_SQUAD_WEAP3,1x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_B2_BATTLEDROID_SQUAD_WEAP4,1x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_B2_BATTLEDROID_SQUAD_WEAP5,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_B2_BATTLEDROID_WEAP1,1x Wrist Blaster: 2 / 1.25s / 240m
TEXT_TOOLTIP_B2_BATTLEDROID_WEAP2,1x Wrist Rocket: 1 / 10.0s / 240m
TEXT_TOOLTIP_B2_BATTLEDROID_WEAP3,1x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_B2_BATTLEDROID_WEAP4,1x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_B2_BATTLEDROID_WEAP5,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BANTHA_II_SKIFF,A light-duty weaponized repulsorcraft. It was originally a civilian cargo utility vehicle but was often armed to suppress civilian populations by various groups, including the Empire, Rebel Cells, and assorted criminals. It is best kept away from enemy vehicles and used to fight infantry.
TEXT_TOOLTIP_BANTHA_II_SKIFF_COMPANY,Company: 6x Bantha-II Skiff
TEXT_TOOLTIP_BANTHA_II_SKIFF_HEALTH,Health: 150 (Speeder)
TEXT_TOOLTIP_BANTHA_II_SKIFF_HUTT_COMPANY,Company: 6x Modified Bantha-II Skiff
TEXT_TOOLTIP_BANTHA_II_SKIFF_HUTT_WEAP1,3x Heavy Repeating Blasters: 5 / 1.0s / 280m
TEXT_TOOLTIP_BANTHA_II_SKIFF_MOVE,Speed: 3.0 | Turn: 3.0 
TEXT_TOOLTIP_BANTHA_II_SKIFF_WEAP1,1x AI Blaster Cannon: 4 / 1.0s / 240m
TEXT_TOOLTIP_BARABBULA_FRIGATE,Venerable Hutt frigate introduced centuries before the Clone Wars. Represents a fairly typical modern Hutt military design, with a tough hull and slew of turbolasers and anti-ship missiles. Best used to engage similar sized or larger vessels en-masse, or draw fire in smaller engagements.
TEXT_TOOLTIP_BARABBULA_FRIGATE_HULL,Hull: 1750 (Frigate)
TEXT_TOOLTIP_BARABBULA_FRIGATE_MOVE,Speed: 3.5 | Accel: 0.175 | Turn: 0.4
TEXT_TOOLTIP_BARABBULA_FRIGATE_SHIELD,Shields: 1200 / [18/R] (Frigate)
TEXT_TOOLTIP_BARABBULA_FRIGATE_WEAP1,2x Heavy Turbolasers: 2 / 1.67s / 7.1km
TEXT_TOOLTIP_BARABBULA_FRIGATE_WEAP2,1x Assault Concussion Missile: 4 / 9.0s / 7.1km
TEXT_TOOLTIP_BARC_SPEEDER,The Biker Advanced Reconnaissance Commando Speeder is a heavy speeder bike model introduced during the Clone Wars. While more combat capable than the earlier 74-Z, it is appreciably slower and fell from favor after the war.
TEXT_TOOLTIP_BARC_SPEEDER_COMPANY,Company: 8x BARC Speeder
TEXT_TOOLTIP_BARC_SPEEDER_HEALTH,Health: 35 (Speeder)
TEXT_TOOLTIP_BARC_SPEEDER_HERO_WEAP1,2x Light AI Blaster Cannons: 2 / 0.25s / 200m
TEXT_TOOLTIP_BARC_SPEEDER_MOVE,Speed: 4.0 | Turn: 6.0 
TEXT_TOOLTIP_BARC_SPEEDER_WEAP1,2x Light AI Blaster Cannons: 2 / 0.5s / 200m
TEXT_TOOLTIP_BARLOZ,A popular freighter used for cargo hauling and smuggling due to its large cargo hold.
TEXT_TOOLTIP_BARLOZ_HULL,Hull: 110 (Gunship)
TEXT_TOOLTIP_BARLOZ_MOVE,Speed: 2.5 | Accel: 0.05 | Turn: 1.0
TEXT_TOOLTIP_BARLOZ_SHIELD,Shields: 60 / [1.2/R] (Gunship)
TEXT_TOOLTIP_BARLOZ_WEAP1,2x Heavy Fighter Laser Cannons: 2 / 2.0s / 1.0km
TEXT_TOOLTIP_BATTLEDROID,Light infantry replacement droid notable for being a cheap and mediocre combatant with horrendous casualty rates offset by scavenging modular parts. Originally used by the Trade Federation, these droids served as the bulk troops of the CIS and its sponsors before their remnants were sold off to the CSA after the war.
TEXT_TOOLTIP_BATTLEDROID_COMPANY,Company: 112x B1 Battle Droid
TEXT_TOOLTIP_BATTLEDROID_COMPANY_MEDIUM,Squad: 9x B1 Battle Droid
TEXT_TOOLTIP_BATTLEDROID_COMPANY_WEAP1,112x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_BATTLEDROID_HEALTH,Health: 12 (Droid)
TEXT_TOOLTIP_BATTLEDROID_MOVE,Speed: 0.8 
TEXT_TOOLTIP_BATTLEDROID_MTT_SQUAD_WEAP1,10x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_BATTLEDROID_MTT_SQUAD_WEAP2,4x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_BATTLEDROID_MTT_SQUAD_WEAP3,2x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_BATTLEDROID_MTT_SQUAD_WEAP4,4x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BATTLEDROID_SQUAD,Squad: 16x B1 Battle Droid
TEXT_TOOLTIP_BATTLEDROID_SQUAD_MEDIUM_WEAP1,9x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_BATTLEDROID_SQUAD_WEAP1,16x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_BATTLEDROID_WEAP1,1x E-5 Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_BATTLEDROID_WEAP2,1x E-5C Heavy Blaster Rifle: 5 / 1.0s / 240m
TEXT_TOOLTIP_BATTLEDROID_WEAP3,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BATTLEDROID_WEAP4,1x RPS-6 Rocket Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_BATTLEDROID_WEAP5,1x E-60R Rocket Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_BATTLEDROID_WEAP6,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BETA_3,A refinement of the Gamma ATR-6 which increased the weapon load and protection but sacrificing even more speed, The Beta ETR 3 is another lumbering gunship with an extensive array of weapons from turbolasers, ions cannons, lasers, and proton torpedo launchers. Of primary note is the addition of laser cannons, which provide token anti-fighter capability that the Gamma completely lacks.
TEXT_TOOLTIP_BETA_3_GROUP,Group: 15x Beta ETR-3 Escort Transport
TEXT_TOOLTIP_BETA_3_HULL,Hull: 200 (Gunship)
TEXT_TOOLTIP_BETA_3_MOVE,Speed: 3.15 | Accel: 0.1 | Turn: 2.0
TEXT_TOOLTIP_BETA_3_SHIELD,Shields: 150 / [3.375/R] (Gunship)
TEXT_TOOLTIP_BETA_3_SQUADRON,Squadron: 3x Beta ETR-3 Escort Transport
TEXT_TOOLTIP_BETA_3_WEAP1,4x Fighter Turbolasers: 2 / 3.0s / 4.0km
TEXT_TOOLTIP_BETA_3_WEAP2,1x Fighter Ion Cannon: 2 / 2.0s / 3.0km
TEXT_TOOLTIP_BETA_3_WEAP3,1x Fighter Laser Cannon: 2 / 2.0s / 2.0km
TEXT_TOOLTIP_BETA_3_WEAP4,2x Light Proton Torpedoes: 1 / 50.0s / 3.0km
TEXT_TOOLTIP_BF2_LASER_TURRET_BEAM_WEAP1,1x AV Beam Cannon: 12 / 3.5s / 320m
TEXT_TOOLTIP_BF2_LASER_TURRET_BLASTER_WEAP1,1x AI Blaster Cannon: 2 / 1.0s / 280m
TEXT_TOOLTIP_BF2_LASER_TURRET_HEALTH,Health: 50 (Structure)
TEXT_TOOLTIP_BOBA_FETT,A legendary bounty hunter, Boba Fett was originally an unaltered clone of the Mandalorian bounty hunter Jango Fett. Following his father's death Boba struck out on his own, with his time in the Clone Wars ranging from attempts to assassinate the Jedi Mace Windu to infiltrating Wat Tambor's citadel. Fett's notoriety truly rose in the Imperial period; often employed by the Empire and Darth Vader specifically, Fett displayed deadly efficiency in taking down his bounties. While he was knocked in the Great Pit of Carkoon during a brawl on Tatooine, even a sarlacc could not hold Fett for long.
TEXT_TOOLTIP_BONUS_ARMOR_SHIELD,Armor Shield: 40% chance to deflect frontal infantry blaster fire
TEXT_TOOLTIP_BONUS_RIOT_SHIELD,Riot Shield: 40% chance to deflect frontal infantry blaster fire
TEXT_TOOLTIP_BONUS_RIOT_SHIELD_TOKEN,Shield Plate: 10% chance to deflect frontal infantry blaster fire
TEXT_TOOLTIP_BORVO,A young Borvo found Naboo to be the perfect location to establish an extensive weapon and spice smuggling operation under the cover of the Nal Raka sporting rifle company. He tried to use the chaos of the Trade Federation invasion to his advantage, but was forced off the planet by Lieutenant Gavyn Sykes after his intentions were revealed. Naboo was a convenient base for Borvo's operations on nearby planets and he eventually returned, though carefully watched by Sykes. 
TEXT_TOOLTIP_BOSSATO,The Hutts of the Gorensla kajidic are widely recognized as the preeminent black marketeers of the galaxy, and none more so than the clan leader Bossato. She is ruthlessly profit focused, able to squeeze every credit from a venture, happy to sell to both sides of a conflict, and willing to forgive almost any transgression except losing money. Failures from Gorensla members might mean they are expelled from the clan, but Bossato will often mete out more permanent punishments for outsiders who have caused her problems.
TEXT_TOOLTIP_BOSSK,A Trandoshan bounty hunter and son of Cradossk, leader of the Bounty Hunters Guild. Following Trandoshan customs, Bossk started his career as a hunter of Wookiees, and progressed to hunting other species. During the Clone Wars he accepted contracts from the Separatist movement, and frequently assisted Boba Fett. During the Imperial period he developed a vendetta against Han Solo and Chewbacca, along with Fett when their relationship deteriorated. A fierce hunter, Bossk is a danger to all he sets his eyes on.
TEXT_TOOLTIP_BOSSK_CW_HEALTH,Health: 190 [3%/5s] (Hero)
TEXT_TOOLTIP_BOSSK_CW_MOVE,Speed: 1.1
TEXT_TOOLTIP_BOSSK_FLAMETHROWER,Flamethrower
TEXT_TOOLTIP_BOSSK_HEALTH,Health: 205 [3%/5s] (Hero)
TEXT_TOOLTIP_BOSSK_MOVE,Speed: 1.1
TEXT_TOOLTIP_BOSSK_SWAP,Weapon Swap: Flamethrower
TEXT_TOOLTIP_BOSSK_WEAP1,1x Relby-v10 Mortar Gun: 1 / 0.5s / 320m
TEXT_TOOLTIP_BOSSK_WEAP2,1x Thermal Grenade: 3 / 15.0s / 200m
TEXT_TOOLTIP_BOSSK_WEAP3,1x Concussion Grenade: 3 / 15.0s / 200m
TEXT_TOOLTIP_BOSSK_WEAP4,1x Relby Custom Flamethrower: 10 / 3.0s / 220m
TEXT_TOOLTIP_BTLS1_Y_WING,The second of the debut Y-wing models from the Clone Wars, more common in defense forces and garrisons than well-equipped fleets. The S1 Bomber is less armored than the -B series but has better flight performance, leading to it being preferred for further development. It is best used to attack larger enemy vessels with its ion cannons and munitions.
TEXT_TOOLTIP_BUILDLIMIT_MANDATOR,Build Limit: 1 | Lifetime: 1
TEXT_TOOLTIP_BULWARK_I,The first and smallest in the lineage, the Bulwark was introduced in the Clone Wars as a CIS battleship with roots in the Techno Union and associated companies. The design is lined with heavy weapons and it serves as a very capable mid-sized warship.
TEXT_TOOLTIP_BULWARK_I_HULL,Hull: 5580 (Heavy Frigate)
TEXT_TOOLTIP_BULWARK_I_MOVE,Speed: 4.2 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_BULWARK_I_SHIELD,Shields: 3300 / [49.5/R] (Heavy Frigate)
TEXT_TOOLTIP_BULWARK_I_SQUADRON,Fighters: 2 / 2
TEXT_TOOLTIP_BULWARK_I_WEAP1,6x Heavy Turbolasers: 2 / 1.43s / 7.2km
TEXT_TOOLTIP_BULWARK_I_WEAP2,4x Heavy Ion Cannons: 2 / 1.43s / 7.2km
TEXT_TOOLTIP_BULWARK_II,One of several upscaled battlecruiser designs used by the CIS, and the only one to see mass production for use in the Clone Wars. The Bulwark-II is an imposing heavy warship and one of the most powerful in its time, featuring incredibly dense armor and shielding matched with long-range batteries perfectly fit to shred enemy capitals. The design would see further refinement in the Galactic Civil War, leading to the Mark III.
TEXT_TOOLTIP_BULWARK_II_HULL,Hull: 10815 (Capital)
TEXT_TOOLTIP_BULWARK_II_MOVE,Speed: 2.8 | Accel: 0.15 | Turn: 0.3
TEXT_TOOLTIP_BULWARK_II_SHIELD,Shields: 6500 / [32.5/R] (Capital)
TEXT_TOOLTIP_BULWARK_II_SQUADRON,Fighters: 2 / 3
TEXT_TOOLTIP_BULWARK_II_WEAP1,12x Heavy Turbolasers: 2 / 1.43s / 7.5km
TEXT_TOOLTIP_BULWARK_II_WEAP2,6x Heavy Ion Cannons: 2 / 1.3s / 7.5km
TEXT_TOOLTIP_BULWARK_III,The Bulwark-III is the result of TransGalMeg building on the foundations of the earlier Mk. I and II from the Clone Wars with another considerable jump in size. The vessel initially found service with the Rebel Alliance and affiliated planetary forces and continued to serve in various roles in the galaxy through to at least the Yuuzhan Vong War.
TEXT_TOOLTIP_BULWARK_III_HULL,Hull: 19800 (Capital)
TEXT_TOOLTIP_BULWARK_III_MOVE,Speed: 2.1 | Accel: 0.05 | Turn: 0.2
TEXT_TOOLTIP_BULWARK_III_SHIELD,Shields: 20000 / [50/R] (Capital)
TEXT_TOOLTIP_BULWARK_III_SQUADRON,Fighters: 3 / 7
TEXT_TOOLTIP_BULWARK_III_WEAP1,19x Heavy Turbolasers: 2 / 1.44s / 7.7km
TEXT_TOOLTIP_BULWARK_III_WEAP2,8x Heavy Ion Cannons: 2 / 1.38s / 7.7km
TEXT_TOOLTIP_C70,An early wartime refit of the ubiquitous Consular cruiser, ordered by Chancellor Palpatine to fill the critical need for mobile turbolaser support for an overstretched Republic.
TEXT_TOOLTIP_C70_HULL,Hull: 550 (Corvette)
TEXT_TOOLTIP_C70_MOVE,Speed: 6.65 | Accel: 0.25 | Turn: 0.65
TEXT_TOOLTIP_C70_PD,Point-Defense: 1 / 2.27s / 1.5km
TEXT_TOOLTIP_C70_SHIELD,Shields: 450 / [9/R] (Corvette)
TEXT_TOOLTIP_C70_WEAP1,5x Light Dual Turbolasers: 1 / 5.0s / 5.0km
TEXT_TOOLTIP_C70_WEAP2,1x Medium Dual Rapid Laser Cannon: 6 / 5.0s / 3.5km
TEXT_TOOLTIP_CA_ARTILLERY,Designed by the Corporate Alliance using the Persuader snail tank as a basis. Due to its rear line role, it was heavily stripped down of unnecessary armour to make it cheap, light, and responsive to conditions on the field. Its initial usage was against worlds on the Outer Rim who opposed the CA’s development plans or their business practices but later they would see heavy usage by the CIS during the Clone war as a mobile artillery piece. 
TEXT_TOOLTIP_CA_ARTILLERY_COMPANY,Company: 1x Corporate Alliance Artillery
TEXT_TOOLTIP_CA_ARTILLERY_HEALTH,Health: 75 (Medium Vehicle)
TEXT_TOOLTIP_CA_ARTILLERY_MOVE,Speed: 1.0 | Turn: 2.0
TEXT_TOOLTIP_CA_ARTILLERY_WEAP1,1x Light Artillery Cannon: 1 / 4.13s / 1440m
TEXT_TOOLTIP_CAPTOR,A heavy munitions cruiser typically used as a fighter carrier or armed convoy vessel. It was originally designed for supporting the antipiracy operations of the Trade Federation Defense Force several centuries ago alongside the Auxilia-class. Able to engage smaller cruisers while supporting fleets with its large complement of fighters. 
TEXT_TOOLTIP_CAPTOR_HULL,Hull: 1960 (Frigate)
TEXT_TOOLTIP_CAPTOR_MOVE,Speed: 4.9 | Accel: 0.2 | Turn: 0.45
TEXT_TOOLTIP_CAPTOR_SHIELD,Shields: 1800 / [13.5/R] (Frigate)
TEXT_TOOLTIP_CAPTOR_SQUADRON,Fighters: 2 / 5 | Bombers: 2 / 6
TEXT_TOOLTIP_CAPTOR_SQUADRON_ORSF,Fighters: 3 / 6 | Bombers: 2 / 4
TEXT_TOOLTIP_CAPTOR_WEAP1,4x Light Turbolasers: 2 / 1.0s / 5.1km
TEXT_TOOLTIP_CAPTOR_WEAP2,2x Concussion Missiles: 1 / 10.0s / 4.1km
TEXT_TOOLTIP_CARDAN_I_HULL,Hull: 4800 (Capital)
TEXT_TOOLTIP_CARDAN_I_SHIELD,Shields: 6000 / [45/R] (Capital)
TEXT_TOOLTIP_CARDAN_I_WEAP1,2x Medium Dual Turbolasers: 2 / 1.33s / 7.2km
TEXT_TOOLTIP_CARDAN_I_WEAP2,2x Heavy Dual Laser Cannons: 2 / 0.5s / 5.1km
TEXT_TOOLTIP_CARDAN_I_WEAP3,2x Assault Concussion Missiles: 4 / 9.0s / 7.4km
TEXT_TOOLTIP_CARRACK,The Carrack is an older design in service before the Clone Wars but prevails throughout the decades as a fast, durable, and well-equipped frigate especially suitable for use as a fleet escort. The Carrack-class is highly versatile, and is often deployed in a forward picket line formation.
TEXT_TOOLTIP_CARRACK_HULL,Hull: 1400 (Frigate)
TEXT_TOOLTIP_CARRACK_LASERS,A durable pre-Clone Wars frigate design intended to serve as a replacement for aging Rendili designs in system defense fleets. Extremely well armed for its size, though this configuration has anti-fighter weaponry for its secondary battery. Highly versatile and makes an excellent picket or escort.
TEXT_TOOLTIP_CARRACK_LASERS_HULL,Hull: 1400 (Frigate)
TEXT_TOOLTIP_CARRACK_LASERS_MOVE,Speed: 5.6 | Accel: 0.175 | Turn: 0.4
TEXT_TOOLTIP_CARRACK_LASERS_SHIELD,Shields: 1400 / [21/R] (Frigate)
TEXT_TOOLTIP_CARRACK_LASERS_SQUADRON,Fighters: 0.5 / 0 [Requires research]
TEXT_TOOLTIP_CARRACK_LASERS_WEAP1,2x Heavy Turbolasers: 2 / 2.0s / 7.1km
TEXT_TOOLTIP_CARRACK_LASERS_WEAP2,2x Medium Laser Cannons: 2 / 0.5s / 4.1km
TEXT_TOOLTIP_CARRACK_MOVE,Speed: 5.6 | Accel: 0.175 | Turn: 0.4
TEXT_TOOLTIP_CARRACK_SHIELD,Shields: 1400 / [21/R] (Frigate)
TEXT_TOOLTIP_CARRACK_SQUADRON,Fighters: 0.5 / 0
TEXT_TOOLTIP_CARRACK_WEAP1,2x Heavy Turbolasers: 2 / 2.0s / 7.1km
TEXT_TOOLTIP_CARRACK_WEAP2,2x Light Ion Cannons: 2 / 1.33s / 5.1km
TEXT_TOOLTIP_CEC_LIGHT_CRUISER,An older product of the Corellian Engineering Corporation, most commonly used by the Republic Outland Regions Security Force. This cruiser was often paired with Dreadnaught Heavy Cruisers, and boasted decent weapons for a ship of its size that complemented the Dreadnaught in turn for roles such as planetary assault or engaging larger ships.
TEXT_TOOLTIP_CEC_LIGHT_CRUISER_HULL,Hull: 1250 (Frigate)
TEXT_TOOLTIP_CEC_LIGHT_CRUISER_MOVE,Speed: 3.85 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_CEC_LIGHT_CRUISER_SHIELD,Shields: 1200 / [15/R] (Frigate)
TEXT_TOOLTIP_CEC_LIGHT_CRUISER_SQUADRON,Fighters: 0.5 / 0.5
TEXT_TOOLTIP_CEC_LIGHT_CRUISER_SQUADRON_FOTR,Fighters: 0.5 / 0.5 [Requires research]
TEXT_TOOLTIP_CEC_LIGHT_CRUISER_WEAP1,2x Medium Turbolasers: 2 / 2.0s / 6.1km
TEXT_TOOLTIP_CEC_LIGHT_CRUISER_WEAP2,2x Assault Concussion Missiles: 2 / 10.0s / 7.1km
TEXT_TOOLTIP_CITADEL_CRUISER,An aged civilian transport from the days of the Old Republic, the ILH-KK Citadel is still used by many groups due to its sturdy construction and reliable operation. Many have been converted to light warships by the Corporate Sector Authority, the Rebel Alliance, and various pirate and smuggler organizations.
TEXT_TOOLTIP_CITADEL_CRUISER_GROUP,Group: 20x Citadel Cruiser 
TEXT_TOOLTIP_CITADEL_CRUISER_HULL,Hull: 100 (Gunship)
